ENGINEERING_INSTITUTE,CITY,LAW_UNIVERSITY
Alliance UniversityMore Details |  |,Bengaluru,Christ UniversityMore Details |  |
Vishwakarma Institute of TechnologyMore Details |  |,Pune,Symbiosis Law SchoolMore Details |  |
BMS Institute of Technology & ManagementMore Details |  |,Bengaluru,National Law School of India UniversityMore Details |  |
BMS Institute of Technology & ManagementMore Details |  |,Bengaluru,Christ UniversityMore Details |  |
Institute of Aeronautical EngineeringMore Details |  |,Hyderabad,Nalsar University of LawMore Details |  |
Goka Raju Ranga Raju Institute of Engineering & TechnologyMore Details |  |,Hyderabad,Nalsar University of LawMore Details |  |
Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for WomenMore Details |  |,Pune,Symbiosis Law SchoolMore Details |  |
Pandit Deendayal Petroleum UniversityMore Details |  |,Gandhinagar,Gujarat National Law UniversityMore Details |  |
"Silicon Institute of Technology (SIT), BhubaneswarMore Details |  |",Bhubaneswar,Kalinga Institute of Industrial TechnologyMore Details |  |
Anurag Group of InstitutionsMore Details |  |,Hyderabad,Nalsar University of LawMore Details |  |
BNM Institute of TechnologyMore Details |  |,Bengaluru,National Law School of India UniversityMore Details |  |
BNM Institute of TechnologyMore Details |  |,Bengaluru,Christ UniversityMore Details |  |
Vasavi College of EngineeringMore Details |  |,Hyderabad,Nalsar University of LawMore Details |  |
Institute of Engineering & ManagementMore Details |  |,Kolkata,The West Bengal National University of Juridicial SciencesMore Details |  |
Dr. D. Y. Patil Institute of TechnologyMore Details |  |,Pune,Symbiosis Law SchoolMore Details |  |
Pimpri Chinchwad College of EngineeringMore Details |  |,Pune,Symbiosis Law SchoolMore Details |  |
BVRIT HyderabadMore Details |  |,Hyderabad,Nalsar University of LawMore Details |  |
